Attrition,Age,BusinessTravel,DailyRate,Department,DistanceFromHome,EmployeeNumber,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,36,1,1195,1,11,85,3,0,2,0,95,2,2,3,2,0,6499,22656,1,0,13,3,3,80,0,6,3,3,6,5,0,3
0,45,0,1339,1,7,86,3,0,2,0,59,3,3,1,1,2,9724,18787,2,0,17,3,3,80,1,25,2,3,1,0,0,0
0,35,1,664,1,1,88,3,1,2,0,79,3,1,1,1,1,2194,5868,4,0,13,3,4,80,1,5,2,2,3,2,1,2
1,36,0,318,1,9,90,3,1,4,0,79,2,1,1,3,1,3388,21777,0,1,17,3,1,80,1,2,0,2,1,0,0,0
0,59,1,1225,0,1,91,1,0,1,1,57,2,2,0,3,0,5473,24668,7,0,11,3,4,80,0,20,2,2,4,3,1,3
0,29,0,1328,1,2,94,3,0,3,0,76,3,1,1,2,1,2703,4956,0,0,23,4,4,80,1,6,3,3,5,4,0,4
0,31,0,1082,1,1,95,4,1,3,0,87,3,1,1,2,0,2501,18775,1,0,17,3,2,80,0,1,4,3,1,1,1,0
0,32,0,548,1,1,96,3,0,2,0,66,3,2,1,2,1,6220,7346,1,0,17,3,2,80,2,10,3,3,10,4,0,9
0,36,0,132,1,6,97,3,0,2,1,55,4,1,2,4,1,3038,22002,3,0,12,3,2,80,0,5,3,3,1,0,0,0
0,31,0,746,1,8,98,4,0,3,1,61,3,2,3,4,0,4424,20682,1,0,23,4,4,80,0,11,2,3,11,7,1,8
0,35,0,776,0,1,100,4,2,3,0,32,2,2,0,1,0,4312,23016,0,0,14,3,2,80,0,16,2,3,15,13,2,8
0,45,0,193,1,6,101,4,5,4,0,52,3,3,7,1,1,13245,15067,4,1,14,3,2,80,0,17,3,4,0,0,0,0
0,37,0,397,1,7,102,4,1,1,0,30,3,3,7,3,0,13664,25258,4,0,13,3,1,80,0,16,3,4,5,2,0,2
0,46,0,945,3,5,103,2,1,2,0,80,3,2,8,2,2,5021,10425,8,1,22,4,4,80,1,16,2,3,4,2,0,2
0,30,0,852,1,1,104,1,0,4,0,55,2,2,2,4,1,5126,15998,1,1,12,3,3,80,2,10,1,2,10,8,3,0
0,35,0,1214,1,1,105,3,1,2,0,30,2,1,1,3,0,2859,26278,1,0,18,3,1,80,0,6,3,3,6,4,0,4
0,55,0,111,0,1,106,2,0,1,0,70,3,3,0,4,1,10239,18092,3,0,14,3,4,80,1,24,4,3,1,0,1,0
0,38,2,573,1,6,107,3,1,2,1,79,1,2,1,4,2,5329,15717,7,1,12,3,4,80,3,17,3,3,13,11,1,9
0,34,0,1153,1,1,110,2,1,1,0,94,3,2,3,2,1,4325,17736,1,0,15,3,3,80,0,5,2,3,5,2,1,3
0,56,0,1400,1,7,112,3,0,4,0,49,1,3,3,4,0,7260,21698,4,0,11,3,1,80,0,37,3,2,6,4,0,2
0,23,0,541,0,2,113,1,3,3,0,62,3,1,6,1,2,2322,9518,3,0,13,3,3,80,1,3,3,3,0,0,0,0
0,51,0,432,1,9,116,4,0,4,0,96,3,1,2,4,1,2075,18725,3,0,23,4,2,80,2,10,4,3,4,2,0,3
0,30,0,288,1,2,117,3,0,3,0,99,2,2,4,4,1,4152,15830,1,0,19,3,1,80,3,11,3,3,11,10,10,8
1,46,0,669,0,9,118,2,1,3,0,64,2,3,0,4,0,9619,13596,1,0,16,3,4,80,0,9,3,3,9,8,4,7
0,40,1,530,1,1,119,4,0,3,0,78,2,4,4,2,1,13503,14115,1,0,22,4,4,80,1,22,3,2,22,3,11,11
0,51,0,632,0,21,120,4,2,3,0,71,3,2,0,4,0,5441,8423,0,1,22,4,4,80,0,11,2,1,10,7,1,0
0,30,0,1334,0,4,121,2,1,3,1,63,2,2,0,2,2,5209,19760,1,1,12,3,2,80,3,11,4,2,11,8,2,7
0,46,1,638,1,1,124,3,1,3,0,40,2,3,4,1,1,10673,3142,2,1,13,3,3,80,1,21,5,2,10,9,9,5
0,32,0,1093,0,6,125,4,1,2,0,87,3,2,0,3,0,5010,24301,1,0,16,3,1,80,0,12,0,3,11,8,5,7
0,54,0,1217,1,2,126,4,3,1,1,60,3,3,7,3,1,13549,24001,9,0,12,3,1,80,1,16,5,1,4,3,0,3
0,24,0,1353,0,3,128,2,5,1,1,33,3,2,0,3,1,4999,17519,0,0,21,4,1,80,1,4,2,2,3,2,0,2
0,28,2,120,0,4,129,3,1,2,0,43,3,2,0,3,1,4221,8863,1,0,15,3,2,80,0,5,3,4,5,4,0,4
0,58,0,682,0,10,131,4,1,4,0,37,3,4,0,3,0,13872,24409,0,0,13,3,3,80,0,38,1,2,37,10,1,8
0,44,2,489,1,23,132,3,1,2,0,67,3,2,2,2,1,2042,25043,4,0,12,3,3,80,1,17,3,4,3,2,1,2
1,37,0,807,3,6,133,4,4,3,0,63,3,1,8,1,2,2073,23648,4,1,22,4,4,80,0,7,3,3,3,2,0,2
0,32,0,827,1,1,134,1,0,4,0,71,3,1,1,1,0,2956,15178,1,0,13,3,4,80,0,1,2,3,1,0,0,0
1,20,1,871,1,6,137,3,0,4,1,66,2,1,2,4,0,2926,19783,1,1,18,3,2,80,0,1,5,3,1,0,1,0
0,34,0,665,1,6,138,4,5,1,1,41,3,2,1,3,0,4809,12482,1,0,14,3,3,80,0,16,3,3,16,13,2,10
0,37,2,1040,1,2,139,2,0,3,0,100,2,2,4,4,2,5163,15850,5,0,14,3,4,80,1,17,2,4,1,0,0,0
0,59,2,1420,3,2,140,4,4,3,1,32,2,5,5,4,1,18844,21922,9,0,21,4,4,80,1,30,3,3,3,2,2,2
0,50,1,1115,1,1,141,3,0,1,1,73,3,5,7,2,1,18172,9755,3,1,19,3,1,80,0,28,1,2,8,3,0,7
1,25,0,240,0,5,142,3,2,3,0,46,2,2,0,3,0,5744,26959,1,1,11,3,4,80,0,6,1,3,6,4,0,3
0,25,0,1280,1,7,143,1,1,4,0,64,2,1,1,4,1,2889,26897,1,0,11,3,3,80,2,2,2,3,2,2,2,1
0,22,0,534,1,15,144,3,1,2,1,59,3,1,2,4,0,2871,23785,1,0,15,3,3,80,0,1,5,3,0,0,0,0
0,51,1,1456,1,1,145,4,1,1,1,30,2,3,4,1,0,7484,25796,3,0,20,4,3,80,0,23,1,2,13,12,12,8
1,34,1,658,1,7,147,3,0,1,0,66,1,2,2,3,0,6074,22887,1,1,24,4,4,80,0,9,3,3,9,7,0,6
0,54,2,142,3,26,148,3,4,4,1,30,4,4,5,4,0,17328,13871,2,1,12,3,3,80,0,23,3,3,5,3,4,4
0,24,0,1127,1,18,150,1,0,2,0,52,3,1,2,3,1,2774,13257,0,0,12,3,3,80,1,6,2,3,5,3,1,2
0,34,0,1031,1,6,151,4,0,3,1,45,2,2,1,2,2,4505,15000,6,0,15,3,3,80,1,12,3,3,1,0,0,0
0,37,0,1189,0,3,152,3,0,3,0,87,3,3,0,4,0,7428,14506,2,0,12,3,1,80,0,12,3,3,5,3,1,3
0,34,0,1354,1,5,153,3,1,3,1,45,2,3,5,1,0,11631,5615,2,0,12,3,4,80,0,14,6,3,11,10,5,8
0,36,1,1467,0,11,154,2,3,2,1,92,3,3,0,4,1,9738,22952,0,0,14,3,3,80,1,10,6,3,9,7,2,8
0,36,0,922,1,3,155,2,0,1,1,39,3,1,2,4,2,2835,2561,5,0,22,4,1,80,1,7,2,3,1,0,0,0
0,43,1,394,0,26,158,2,0,3,0,92,3,4,5,4,1,16959,19494,1,1,12,3,4,80,2,25,3,4,25,12,4,12
0,30,1,1312,1,23,159,3,0,1,0,96,1,1,1,3,2,2613,22310,1,0,25,4,3,80,3,10,2,2,10,7,0,9
0,33,2,750,0,22,160,2,2,3,0,95,3,2,0,2,1,6146,15480,0,0,13,3,1,80,1,8,2,4,7,7,0,7
1,56,0,441,1,14,161,4,0,2,1,72,3,1,1,2,1,4963,4510,9,1,18,3,1,80,3,7,2,3,5,4,4,3
0,51,0,684,1,6,162,3,0,1,0,51,3,5,7,3,0,19537,6462,7,0,13,3,3,80,0,23,5,3,20,18,15,15
1,31,0,249,0,6,163,4,0,2,0,76,1,2,0,3,1,6172,20739,4,1,18,3,2,80,0,12,3,2,7,7,7,7
0,26,0,841,1,6,164,3,5,3,1,46,2,1,1,2,1,2368,23300,1,0,19,3,3,80,0,5,3,2,5,4,4,3
1,58,0,147,1,23,165,4,1,4,1,94,3,3,4,4,1,10312,3465,1,0,12,3,4,80,1,40,3,2,40,10,15,6
1,19,0,528,0,22,167,1,2,4,0,50,3,1,6,3,0,1675,26820,1,1,19,3,4,80,0,0,2,2,0,0,0,0
0,22,0,594,1,2,169,1,3,3,0,100,3,1,2,4,1,2523,19299,0,0,14,3,3,80,1,3,2,3,2,1,2,1
0,49,0,470,1,20,170,4,1,3,1,96,3,2,3,1,1,6567,5549,1,0,14,3,3,80,0,16,2,2,15,11,5,11
0,43,1,957,1,28,171,3,1,2,1,72,4,1,1,3,0,4739,16090,4,0,12,3,4,80,0,18,2,3,3,2,1,2
0,50,1,809,0,12,174,3,2,3,1,77,3,3,0,4,0,9208,6645,4,0,11,3,4,80,0,16,3,3,2,2,2,1
1,31,0,542,0,20,175,3,0,2,1,71,1,2,0,3,1,4559,24788,3,1,11,3,3,80,1,4,2,3,2,2,2,2
0,41,0,802,0,9,176,1,0,3,0,96,3,3,0,3,2,8189,21196,3,1,13,3,3,80,1,12,2,3,9,7,0,7
0,26,0,1355,3,25,177,1,0,3,1,61,3,1,8,3,1,2942,8916,1,0,23,4,4,80,1,8,3,3,8,7,5,7
0,36,0,216,1,6,178,2,1,2,0,84,3,2,3,2,2,4941,2819,6,0,20,4,4,80,2,7,0,3,3,2,0,1
1,51,1,1150,1,8,179,4,0,1,0,53,1,3,3,4,0,10650,25150,2,0,15,3,4,80,0,18,2,3,4,2,0,3
0,39,0,1329,0,4,182,4,0,4,1,47,2,2,0,3,1,5902,14590,4,0,14,3,3,80,1,17,1,4,15,11,5,9
0,25,0,959,0,28,183,3,0,1,0,41,2,2,0,3,1,8639,24835,2,0,18,3,4,80,0,6,3,3,2,2,2,2
0,30,0,1240,3,9,184,3,4,3,0,48,3,2,8,4,1,6347,13982,0,1,19,3,4,80,0,12,2,1,11,9,4,7
1,32,0,1033,1,9,190,3,1,1,1,41,3,1,2,1,0,4200,10224,7,0,22,4,1,80,0,10,2,4,5,4,0,4
0,45,0,1316,1,29,192,3,1,3,0,83,3,1,1,4,0,3452,9752,5,0,13,3,2,80,0,9,2,2,6,5,0,3
0,38,0,364,1,3,193,5,3,4,1,32,3,2,1,3,0,4317,2302,3,1,20,4,2,80,0,19,2,3,3,2,2,2
0,30,0,438,1,18,194,3,0,1,1,75,3,1,1,3,0,2632,23910,1,0,14,3,3,80,0,5,4,2,5,4,0,4
0,32,1,689,0,9,195,2,1,4,0,35,1,2,0,4,2,4668,22812,0,0,17,3,4,80,3,9,2,4,8,7,0,7
0,30,0,201,1,5,197,3,3,4,1,84,3,1,1,1,2,3204,10415,5,0,14,3,4,80,1,8,3,3,3,2,2,2
0,30,0,1427,1,2,198,1,1,2,0,35,2,1,2,4,0,2720,11162,0,0,13,3,4,80,0,6,3,3,5,3,1,2
0,41,1,857,1,10,199,3,0,4,0,91,2,4,5,1,2,17181,12888,4,0,13,3,2,80,1,21,2,2,7,6,7,7
0,41,0,933,1,9,200,4,0,3,0,94,3,1,2,1,1,2238,6961,2,0,21,4,4,80,1,7,2,3,5,0,1,4
0,19,0,1181,1,3,201,1,1,2,1,79,3,1,2,2,0,1483,16102,1,0,14,3,4,80,0,1,3,3,1,0,0,0
0,40,1,1395,1,26,202,3,1,2,1,54,3,2,1,2,2,5605,8504,1,0,11,3,1,80,1,20,2,3,20,7,2,13
0,35,0,662,0,1,204,5,2,3,0,94,3,3,0,2,1,7295,11439,1,0,13,3,1,80,2,10,3,3,10,8,0,6
0,53,0,1436,0,6,205,2,2,2,0,34,3,2,6,3,1,2306,16047,2,1,20,4,4,80,1,13,3,1,7,7,4,5
0,45,0,194,1,9,206,3,0,2,0,60,3,2,2,2,2,2348,10901,8,0,18,3,3,80,1,20,2,1,17,9,0,15
0,32,1,967,0,8,207,3,2,2,1,43,3,3,0,4,0,8998,15589,1,0,14,3,4,80,0,9,2,3,9,8,3,7
0,29,2,1496,1,1,208,1,3,4,0,41,3,2,3,3,1,4319,26283,1,0,13,3,1,80,1,10,1,3,10,7,0,9
0,51,0,1169,1,7,211,4,1,2,0,34,2,2,3,3,1,6132,13983,2,0,17,3,3,80,0,10,2,3,1,0,0,0
0,58,0,1145,1,9,214,3,1,2,1,75,2,1,1,2,1,3346,11873,4,1,20,4,2,80,1,9,3,2,1,0,0,0
0,40,0,630,0,4,215,4,2,3,0,67,2,3,0,4,1,10855,8552,7,0,11,3,1,80,1,15,2,2,12,11,2,11
0,34,1,303,0,2,216,4,2,3,1,75,3,1,6,3,1,2231,11314,6,0,18,3,4,80,1,6,3,3,4,3,1,2
0,22,0,1256,1,19,217,1,1,3,0,80,3,1,1,4,1,2323,11992,1,0,24,4,1,80,2,2,6,3,2,2,2,2
0,27,2,691,1,9,218,3,1,4,0,57,3,1,1,2,2,2024,5970,6,0,18,3,4,80,1,6,1,1,2,2,2,2
0,28,0,440,1,21,221,3,1,3,0,42,3,1,1,4,1,2713,6672,1,0,11,3,3,80,1,5,2,1,5,2,0,2
0,57,0,334,1,24,223,2,0,3,0,83,4,3,4,4,2,9439,23402,3,1,16,3,2,80,1,12,2,1,5,3,1,4
0,27,2,1450,1,3,224,3,1,3,0,79,2,1,1,3,2,2566,25326,1,1,15,3,4,80,1,1,2,2,1,1,0,1
0,50,0,1452,1,11,226,3,0,3,1,53,3,5,5,2,0,19926,17053,3,0,15,3,2,80,0,21,5,3,5,4,4,4
0,41,0,465,1,14,227,3,0,1,0,56,3,1,1,3,2,2451,4609,4,0,12,3,1,80,1,13,2,3,9,8,1,8
0,30,0,1339,0,5,228,3,0,2,1,41,3,3,0,4,1,9419,8053,2,0,12,3,3,80,1,12,2,3,10,9,7,4
0,38,0,702,0,1,230,4,0,1,1,59,2,2,0,4,0,8686,12930,4,0,22,4,3,80,0,12,2,4,8,3,0,7
0,32,0,120,1,6,231,5,0,3,0,43,3,1,1,3,0,3038,12430,3,0,20,4,1,80,0,8,2,3,5,4,1,4
0,27,0,1157,1,17,233,3,3,3,0,51,3,1,1,2,1,3058,13364,0,1,16,3,4,80,1,6,3,2,5,2,1,1
1,19,1,602,0,1,235,1,3,3,1,100,1,1,6,1,0,2325,20989,0,0,21,4,1,80,0,1,5,4,0,0,0,0
0,36,1,1480,1,3,238,2,1,4,0,30,3,1,2,2,0,2088,15062,4,0,12,3,3,80,0,13,3,2,8,7,7,2
0,30,2,111,1,9,239,3,1,3,0,66,3,2,2,1,2,3072,11012,1,0,11,3,3,80,2,12,4,3,12,9,6,10
0,45,0,1268,0,4,240,2,0,3,1,30,3,2,0,1,2,5006,6319,4,1,11,3,1,80,1,9,3,4,5,4,0,3
0,56,0,713,1,8,241,3,0,3,1,67,3,1,1,1,2,4257,13939,4,1,18,3,3,80,1,19,3,3,2,2,2,2
0,33,0,134,1,2,242,3,0,3,0,90,3,1,1,4,0,2500,10515,0,0,14,3,1,80,0,4,2,4,3,1,0,2
1,19,0,303,1,2,243,3,0,2,0,47,2,1,2,4,0,1102,9241,1,0,22,4,3,80,0,1,3,2,1,0,1,0
0,46,0,526,0,1,244,2,2,2,1,92,3,3,0,1,2,10453,2137,1,0,25,4,3,80,3,24,2,3,24,13,15,7
0,38,0,1380,1,9,245,2,0,3,1,75,3,1,2,4,0,2288,6319,1,0,12,3,3,80,0,2,3,3,2,2,2,1
0,31,0,140,1,12,246,1,1,3,1,95,3,1,1,4,1,3929,6984,8,1,23,4,3,80,1,7,0,3,4,2,0,2
0,34,0,629,1,27,247,2,1,4,1,95,3,1,1,2,0,2311,5711,2,0,15,3,4,80,0,9,3,3,3,2,1,2
1,41,0,1356,0,20,248,2,2,2,1,70,3,1,6,2,0,3140,21728,1,1,22,4,4,80,0,4,5,2,4,3,0,2
0,50,0,328,1,1,249,3,1,3,0,86,2,1,2,3,1,3690,3425,2,0,15,3,4,80,1,5,2,2,3,2,0,2
0,53,0,1084,1,13,250,2,1,4,1,57,4,2,3,1,2,4450,26250,1,0,11,3,3,80,2,5,3,3,4,2,1,3
0,33,0,931,1,14,252,3,1,4,1,72,3,1,1,2,1,2756,4673,1,0,13,3,4,80,1,8,5,3,8,7,1,6
0,40,0,989,1,4,253,1,1,4,1,46,3,5,5,3,1,19033,6499,1,0,14,3,2,80,1,21,2,3,20,8,9,9
0,55,0,692,1,14,254,4,1,3,0,61,4,5,7,2,0,18722,13339,8,0,11,3,4,80,0,36,3,3,24,15,2,15
0,34,1,1069,1,2,256,1,0,4,0,45,2,2,3,3,1,9547,14074,1,0,17,3,3,80,0,10,2,2,10,9,1,9
0,51,0,313,1,3,258,3,1,4,1,98,3,4,4,2,0,13734,7192,3,0,18,3,3,80,0,21,6,3,7,7,1,0
0,52,0,699,1,1,259,4,0,3,0,65,2,5,5,3,1,19999,5678,0,0,14,3,1,80,1,34,5,3,33,18,11,9
0,27,0,894,1,9,260,3,1,4,1,99,3,1,1,2,0,2279,11781,1,0,16,3,4,80,0,7,2,2,7,7,0,3
1,35,0,556,1,23,261,2,0,2,0,50,2,2,3,3,1,5916,15497,3,1,13,3,1,80,0,8,1,3,1,0,0,1
0,43,2,1344,1,7,262,3,1,4,0,37,4,1,1,4,2,2089,5228,4,0,14,3,4,80,3,7,3,4,5,4,2,2
0,45,2,1195,1,2,264,2,1,1,0,65,2,4,5,4,1,16792,20462,9,0,23,4,4,80,1,22,1,3,20,8,11,8
0,37,0,290,1,21,267,3,0,2,0,65,4,1,1,1,1,3564,22977,1,1,12,3,1,80,1,8,3,2,8,7,1,7
